Num	Epoch	a		    e		    i		     w		     Node		  M		     Name
--	-----	----------	----------	---------	---------	---------	-----------	-----------------
67	56800	2.6155567	0.2376646	18.5077400	163.2769000	159.3163500	215.8206126	Prokne
68	56800	2.9346835	0.1632752	18.2406200	307.4554100	79.8168300	78.2252335	Berbericia
69	56800	2.9830037	0.1674100	18.2111900	12.9153300	333.7319200	287.2604195	Danae
70	56800	2.7602163	0.1424751	7.1853800	3.9038100	10.4330900	335.8716419	Pandora
71	56800	2.4719794	0.1329508	5.5899800	135.6412200	125.5706100	207.2649917	Thetis
72	56800	2.7803388	0.1756295	10.9102800	165.8860600	1.8536200	249.9689270	Juewa
73	56800	2.7326361	0.0804059	5.9645500	283.7027000	56.8886300	173.4913783	Lydia
74	56800	2.7541243	0.1412246	8.5606700	274.8411000	4.0756000	89.2510286	Minerva
75	56800	2.7667204	0.1416822	3.5633300	94.9250700	63.7440800	196.2014993	Sirona
76	56800	2.3993891	0.2556602	21.5919100	90.0455800	214.2257500	55.9737297	Phocaea
77	56800	2.7688289	0.1756178	10.2781500	155.1424500	195.7261700	200.6283869	Gyptis
78	56800	2.8410037	0.1382316	15.3630900	343.3878400	347.6998600	114.2387872	Hispania
79	56800	2.8793394	0.1329839	4.9830700	313.9022600	3.1275700	50.4063658	Aglaja
80	56800	2.7408360	0.2019130	15.9075700	70.2473100	285.8331400	143.4650343	Anacostia
81	56800	2.6079338	0.0674117	8.1235600	265.7153700	282.3729100	160.8656456	Industria
82	56800	2.7903734	0.2190174	12.8595400	198.3379100	58.1323400	98.5607971	Vaticana
83	56800	2.6661269	0.2258154	14.5825900	49.2600000	283.7743200	162.5489086	Nina
84	56800	2.6552395	0.2349861	4.8073300	293.4190200	76.4344700	318.6894258	Vibilia
85	56800	2.7713244	0.2009622	9.7835600	152.0471200	263.2746100	288.3297621	Ludmilla
86	56800	2.2030083	0.1686515	3.4705400	16.3619600	264.8719200	315.3079333	Ariadne
87	56800	2.7130137	0.1189677	8.6391400	211.7117800	170.0389600	121.3464839	Elpis
88	56800	2.9903028	0.0285461	14.9028600	53.2307500	348.8005700	164.3011061	Lomia
89	56800	2.4440127	0.1916458	4.6178400	200.8779500	206.6335800	125.0021336	Eurynome
90	56800	2.2960026	0.2001702	8.6642800	139.1368900	218.7795200	307.8753967	Sappho
91	56800	2.5944981	0.1038827	4.9325300	166.7488600	305.7610300	1.4965749	Ate
92	56800	2.7426177	0.2426626	24.9870800	54.8212900	0.1705700	262.5077418	Eukrate
93	56800	2.5950247	0.3152487	18.3510300	237.3045900	48.2031300	112.8005929	Desiderata
94	56800	2.6188582	0.2074613	8.7046700	153.0244400	333.4185400	259.3767273	Diana
95	56800	2.6153252	0.1822498	11.5900200	255.4822200	47.7402900	10.9197624	Panopaea
96	56800	2.6293166	0.0771739	2.9536800	61.4781100	188.0690300	158.9098118	Alkeste
97	56800	2.6723016	0.1448779	12.6369900	43.8770600	77.4309900	53.4235677	Adeona
98	56800	2.6687812	0.0889492	10.2463000	280.8303900	114.8298200	142.0668151	Venetia
99	56800	2.9719512	0.1142888	7.8152700	103.9101900	251.9428000	284.7753680	Klytaemnestra
100	56800	2.7285374	0.2406873	10.5855000	196.9229400	21.7156000	42.4783235	Lamberta
101	56800	2.7485790	0.0395818	4.3612500	115.9485400	181.7388400	257.0028150	Polyxo
102	56800	2.8006813	0.1890524	7.6859700	174.9855100	185.8870300	125.9487823	Honoria
103	56800	2.9067862	0.0864084	12.3930600	209.7682800	183.9531600	12.1189870	Hypatia
104	56800	2.7185029	0.0662620	13.0945600	146.9959500	83.9858600	22.1905640	Lucina
105	56800	2.7480844	0.1922212	13.8603800	272.7635900	193.4667200	304.6175612	Genua
106	56800	2.3924599	0.1837403	3.6012400	270.8767500	191.6148800	89.5357407	Echo
107	56800	2.6604709	0.1009520	7.6822400	125.1746200	222.0312500	316.9584079	Asterope
108	56800	2.7588989	0.2375618	8.2232500	78.4948000	354.8051900	216.9582364	Liguria
109	56800	2.4275196	0.2076264	2.3058900	340.3540900	343.6591800	228.8610971	Hertha
110	56800	2.9828305	0.1265289	2.1931500	151.6195800	206.2446700	345.0907066	Nuwa
111	56800	2.6771456	0.1355201	4.9364400	351.9917000	164.2301200	17.2837219	Kassandra
112	56800	2.7374662	0.1337176	6.8958800	85.1261000	324.5820500	196.4350517	Dynamene
113	56800	2.6796896	0.2730730	12.9606500	258.1327000	328.8519300	206.5703881	Amherstia
114	56800	2.4236637	0.1840395	6.0234900	106.7651900	202.5418500	167.9664869	Asia
115	56800	2.3527565	0.0229417	10.0343100	120.8672700	142.3838800	267.4367209	Nephthys
116	56800	2.7236861	0.2411818	10.9631300	172.9969300	96.9523400	310.3824930	Chloris
117	56800	2.6001390	0.2365444	8.0632600	104.4737500	193.1505100	183.1212080	Melete
118	56800	2.7383108	0.2830380	10.5990000	316.0823300	89.6649100	134.8672701	Brixia
119	56800	2.5757032	0.1863392	12.7614400	181.8374300	230.8992100	27.8949311	Boliviana
120	56800	2.7389177	0.1551785	6.9748500	169.8501100	295.7619100	333.0600157	Leda
121	56800	2.4586926	0.2283362	9.3139300	88.5354500	268.4658900	286.5938046	Ampella
122	56800	2.5826408	0.1407564	10.2008300	347.3215200	343.4355100	47.2487601	Helena
123	56800	2.7005261	0.0789155	21.0781100	200.9618400	299.6094200	74.0548097	Alphonsina
124	56800	2.9995844	0.0916999	28.8575500	145.8568800	63.8522900	12.2087144	Tanete
125	56800	2.7325727	0.2164235	3.1866200	196.8048800	107.2664000	25.9351153	Siwa
126	56800	2.5255181	0.1718775	2.3444800	176.5452400	181.1279400	348.9500146	Hestia
127	56800	2.6443632	0.0449984	21.2910900	214.3612800	237.2482400	261.9945374	Hansa
128	56800	2.7784583	0.3317268	14.8772300	90.8952400	212.4643800	2.8110002	Lampetia
129	56800	2.9237158	0.0485961	25.0405900	100.7403300	2.9006500	191.5958395	Erminia
130	56800	2.6662457	0.2140607	11.8958500	58.2930600	318.5057000	111.0021902	Lumen
131	56800	2.7656025	0.2185640	2.8285800	111.2443500	25.5148700	149.7420535	Alkmene
132	56800	2.9112748	0.0228495	6.0498300	113.0298400	287.4441800	141.3373337	Budrosa
133	56800	2.5818891	0.0811042	5.7820400	169.9203400	203.6862700	284.8401557	Althaea
134	56800	2.5951285	0.2525140	3.9256600	44.3338700	229.2764100	109.2318388	Aurelia
135	56800	2.7995544	0.1360745	10.4218600	341.2595500	49.6673800	85.9109230	Libussa
136	56800	2.8899396	0.1035074	19.4784500	222.0741600	311.4301000	87.4702570	Hippo
137	56800	2.6773298	0.1812163	5.7579900	181.0191300	157.0332100	259.2266835	Penelope
138	56800	2.5865435	0.2427046	11.9414300	308.6940200	255.2770700	298.0407887	Thia
139	56800	2.7494396	0.3022140	18.4243800	46.9695400	358.4191800	271.5249669	Atalante
140	56800	2.8553009	0.2072180	7.8014000	51.6647700	1.0137800	339.4502793	Terpsichore
141	56800	2.8592594	0.1438031	12.1298100	289.1795100	327.7198000	167.8224693	Phaedra
142	56800	2.6155413	0.2046878	14.2978400	154.6830900	207.6460500	331.8496707	Tyche
143	56800	2.7148055	0.2331961	10.2316600	336.6818600	85.3447900	288.3633385	Suleika
144	56800	2.7384852	0.1429763	20.6597300	45.4044200	136.6151700	102.7677961	Mandeville
145	56800	2.7548450	0.0660122	8.2411500	95.0162700	31.1961200	254.9968025	Johanna
146	56800	2.9906635	0.2270529	7.9347400	213.5531300	353.7827200	232.4646019	Leukothea
147	56800	2.6876163	0.1045773	5.4977600	330.3464100	184.4369500	84.4411010	Circe
148	56800	2.8075445	0.0787578	8.1471900	201.2985100	253.6066500	180.9433480	Bathilde
149	56800	2.2973501	0.2311981	18.1274000	213.9502100	278.4819800	185.4650496	Zelinda
150	56800	2.6494625	0.0978523	12.7083200	268.4607200	94.2875600	291.4820346	Aeria
151	56800	2.6699218	0.1307540	2.4290400	60.7711500	1.2841700	237.7078543	Frigga
152	56800	2.6492134	0.0740195	10.9374300	0.0227400	286.4555900	94.7698401	Hedwig
153	56800	2.8679147	0.3367946	1.8687200	338.0988100	8.5794100	337.6756909	Polyhymnia
154	56800	2.3738318	0.1775220	21.4404900	57.1919100	188.2647600	41.1290362	Artemis
155	56800	2.6463742	0.0437412	5.8373500	282.4168600	352.8663700	180.2285212	Oceana
156	56800	2.6668909	0.1164502	15.1995700	62.9835600	170.6431600	349.1634596	Bianca
157	56800	2.6844546	0.2461800	9.8419500	337.3342600	90.8918000	39.9278053	Cava
158	56800	2.6941572	0.1093803	15.6244100	96.7647800	162.3529000	353.9890138	Asporina
159	56800	2.7282376	0.2267518	9.7754400	338.4458600	241.8584700	87.7176979	Xanthippe
160	56800	2.7528436	0.1461595	6.8027900	162.5609000	122.1155700	26.5432282	Lilaea
161	56800	2.4322644	0.0816522	4.9638200	168.9962700	27.7494100	121.4690463	Beatrix
162	56800	2.5504662	0.1528525	15.6077100	302.7786900	78.8743000	120.5342529	Faina
163	56800	2.7780070	0.2400856	4.0775500	174.1863900	197.2858400	252.1802696	Galatea
164	56800	2.7789537	0.0811847	8.9861400	25.8865200	219.0830600	124.4153165	Burgundia
165	56800	2.7411933	0.0378155	3.7782900	299.2428800	145.1732300	175.7300409	Hersilia
166	56800	2.7409461	0.1549161	9.8374200	349.5550900	66.8700100	327.5548923	Emita
167	56800	2.7919834	0.0823246	18.9194000	277.5091100	224.7279300	49.0980721	Philippina
168	56800	2.3252743	0.0615175	9.7471200	230.4730600	212.6449800	66.0801172	Tercidina
169	56800	2.3739831	0.2331385	10.7284700	84.8145600	282.2363300	311.0731141	Semiramis
170	56800	2.7732472	0.2922264	16.6594500	293.0024300	44.6282000	62.8519605	Luisa
171	56800	2.7261651	0.0638334	7.3968600	343.7555200	283.4583200	327.8118922	Bohemia
172	56800	2.3759238	0.0862492	5.0423600	78.9268600	123.4921200	11.4273954	Amalthea
173	56800	2.3829839	0.1369531	7.8527000	98.8624100	355.4934000	315.1308122	Devosa
174	56800	2.1983753	0.1507661	2.3675100	80.1981600	254.4908000	337.5822637	Anahita
175	56800	2.4506997	0.1614457	3.2043700	260.2275000	54.8803100	143.2042167	Tolosa
176	56800	2.6972846	0.2971530	7.8808000	56.3694200	3.1762300	212.7292484	Felicitas
177	56800	2.4577875	0.2143874	25.2060000	49.1464100	255.8135300	226.5206711	Palisana
178	56800	2.5642065	0.1169801	11.5969800	85.1534100	345.9976100	37.2816297	Sophrosyne
179	56800	2.7377592	0.0590064	3.1778200	57.0146200	347.9239700	233.6036879	Pompeja
180	56800	2.3797667	0.1151062	10.0283400	359.2351600	331.9814500	320.6350269	Baucis
181	56800	2.6957148	0.1184514	6.4196300	125.5658500	307.8646300	279.0771180	Brunhild
182	56800	2.8046868	0.1567788	13.3985700	150.5418500	235.9199700	245.2816913	Aline
183	56800	2.8820233	0.0630981	9.0288400	209.8081600	66.0477900	16.4100442	Carolina
184	56800	2.5912980	0.2440296	12.3613200	134.2824500	184.6861900	195.7259633	Arequipa
185	56800	2.6175276	0.2064173	5.1705000	313.5413300	143.5631600	5.0122435	Kalypso
186	56800	2.3683005	0.1469134	12.1296100	173.8285600	88.8088200	148.3425592	Pythia
187	56800	2.5892231	0.1069157	2.1069200	72.6970300	10.6690800	102.7055444	Aegina
188	56800	2.6883490	0.1858372	15.5761000	158.5267100	354.0107000	83.3608305	Ianthe
189	56800	2.9967596	0.1004337	14.4649500	87.3146400	179.4536800	134.8024499	Petrina
190	56800	2.7717737	0.1629237	4.7638600	39.9181900	134.0987300	130.1670073	Sapientia
191	56800	2.7002861	0.0444823	5.0608400	30.8008900	161.1568400	258.7164425	Concordia
192	56800	2.7301804	0.1556637	6.7668000	338.5458200	6.0959000	148.9321505	Georgia
193	56800	2.6250008	0.0691318	7.5273800	80.7932500	294.7374600	330.8860193	Arachne
194	56800	2.6336447	0.3445158	24.4697400	283.5774000	77.1004000	35.4313962	Eva
195	56800	2.6708089	0.1747983	8.2847000	55.5813200	205.1241200	49.6525934	Kallisto
196	56800	2.6903416	0.0782278	6.6768200	196.5777500	210.1481400	93.9389856	Campania
197	56800	2.7856632	0.1585673	9.0213600	262.0525100	6.3253100	233.3062470	Pierretta
198	56800	2.3748397	0.1812150	11.6529800	315.8787800	176.6511200	47.0530891	Chaldaea
199	56800	2.6563907	0.2932047	12.0180000	272.2794200	76.5626200	39.0370241	Bruchsalia
200	56800	2.6639658	0.0440666	2.3710500	53.2149900	7.0384900	107.9002752	Klytia
201	56800	2.7862705	0.1270620	10.6271300	279.7250900	42.0947000	273.6828817	Aeternitas
202	56800	2.8108607	0.0963938	9.1473500	255.2987300	244.4274600	183.1257177	Cyane
203	56800	2.9262505	0.1648782	14.6623000	175.5388700	70.6990600	144.7216759	Scheila
204	56800	2.3615181	0.1498209	13.1748800	314.9908500	14.8332200	58.7468424	Celuta
205	56800	2.5439112	0.0943705	15.8037800	295.5241500	127.1838400	179.7969004	Roma
206	56800	2.2664011	0.1206653	5.4155800	103.0663900	207.9867500	206.5358122	Feronia
207	56800	2.6505420	0.2248898	9.5010300	241.0084100	97.4455700	356.0501760	Tokio
208	56800	2.3577473	0.1510985	7.2778600	168.0980100	141.9142800	231.1015515	Unitas
209	56800	2.4756486	0.1730458	5.0950300	139.4646800	148.4840900	153.7301300	Roberta
210	56800	2.6112404	0.1665516	11.6804300	86.3407600	85.5607500	181.0446149	Pariana
211	56800	2.6718345	0.3056725	5.0012200	339.4631300	359.4288200	275.6104238	Eurydike
212	56800	2.8925621	0.0136476	1.7458000	108.3843500	4.2657100	49.4456053	Lacrimosa
213	56800	2.9857878	0.0630531	7.0861700	218.2051200	38.2278700	350.3893461	Virtus
214	56800	2.7383241	0.2850557	15.8714200	287.2203300	115.4543600	65.7476148	Flammario
215	56800	2.7671185	0.1527163	9.1964000	31.3779400	99.2701900	108.7871697	Yrsa
216	56800	2.9887675	0.0417200	4.7978200	323.7762800	71.9779000	64.4808302	Valentine
217	56800	2.3746043	0.1529125	2.9361300	127.5474300	295.4625900	0.0371685	Peraga
218	56800	2.5346131	0.0566624	14.2679100	232.6296500	233.9131700	292.4818440	Ulula
219	56800	2.5750049	0.2421937	25.3600400	43.8603400	341.6472600	85.9249635	Notburga
220	56800	2.5792104	0.0433536	8.0677300	29.4663300	27.3601400	212.4087219	Havnia
221	56800	2.6659616	0.2058019	2.1042900	300.0898300	115.1920700	239.4367151	Vanadis
222	56800	2.5853997	0.3116818	24.3882500	266.8029300	112.2662900	203.7317981	Pax
223	56800	2.5928143	0.1996027	14.1123700	120.5601100	92.6417500	212.6545018	Arsinoe
224	56800	2.7470070	0.0702613	5.9442100	293.9123100	64.8903700	22.3040950	Padua
225	56800	2.7805023	0.2463552	8.0545400	115.2024300	252.3717800	172.7621728	Phaeo
226	56800	2.8769188	0.0438349	6.9661600	121.6028500	7.0618700	309.6033410	Eurykleia
227	56800	2.3863211	0.2448372	15.3713500	192.3507800	144.5502700	162.9017864	Barbara
228	56800	2.5589408	0.1109160	11.8261600	17.3505000	129.4228000	71.0573452	Chloe
229	56800	2.5738393	0.2184944	6.0835600	120.2017900	281.4262800	242.8448157	Fredegundis
230	56800	2.8019373	0.1975726	9.0938700	55.7083200	314.2212300	172.9754223	Gretia
231	56800	2.7424658	0.0797437	4.6583800	108.6466000	169.0547300	135.2458460	Liberatrix
232	56800	2.9137894	0.1124638	16.2936100	17.0628700	324.4963200	58.8560832	Fringilla
233	56800	2.8934432	0.0914416	11.5079800	227.3209900	159.3194300	165.8211349	Kolga
234	56800	2.7270444	0.0646819	3.8243700	52.4738700	8.6337200	329.9220251	Una
235	56800	2.9073279	0.0438638	8.3753400	312.1568000	143.7276900	57.3329895	Carmen
236	56800	2.5933007	0.0345230	6.4336800	130.6163300	38.9190300	313.2266845	Abundantia
237	56800	2.6723987	0.1439811	12.7997800	307.7127700	36.5712000	156.5750376	Bandusia
238	56800	2.7617555	0.0438392	13.7771900	93.3192200	106.5251200	187.7383667	Elisabetha
239	56800	2.7866400	0.1803329	14.4418800	6.7348800	229.3254900	192.1455577	Abnoba
240	56800	2.8042500	0.1563637	12.7784600	216.8446200	185.2320500	65.2507378	Corduba
241	56800	2.8528570	0.0360687	2.2121400	133.2578500	166.2256000	233.7523070	Urda
242	56800	2.8573415	0.0809406	16.6886100	332.2801200	322.4095400	56.5428506	Irmintraud
243	56800	2.8776976	0.1515247	3.5486600	253.8101400	172.2047600	17.2975528	Apollonia
244	56800	2.6103726	0.2220946	30.0367100	310.5834700	155.7204200	260.2593311	Olympia
245	56800	2.4160601	0.1858932	2.0045600	310.2269400	107.2412100	170.5371265	Elsa
246	56800	2.6363221	0.3190541	19.0371300	329.7272600	33.2354800	116.4299599	Sarita
247	56800	2.7616496	0.0736887	11.4479300	253.4133400	333.0742700	53.3521683	Adria
248	56800	2.4377151	0.1632516	7.7424100	33.2461400	47.7175300	204.1126302	Peitho
249	56800	2.5334229	0.1080523	15.2042100	106.1741200	156.9856600	349.8117740	Crescentia
250	56800	2.7896038	0.1862122	11.0198500	302.5270800	44.7558900	294.5434593	Sylvania
251	56800	2.3803166	0.1368089	9.0523500	294.3937400	18.7032700	134.6485686	Athor
252	56800	2.6699425	0.3241610	15.8420000	110.8932900	230.3658000	20.8819851	Ekard
253	56800	2.7383505	0.1635696	8.7946600	246.5546400	81.6165800	206.2460546	Arete
254	56800	2.9798187	0.1192411	13.4398600	256.7072000	189.4472900	278.8164974	Valeria
255	56800	2.9880550	0.0479386	24.5596900	301.8202400	180.0532700	174.4659097	Malabar
256	56800	2.6118156	0.0318510	3.4351700	133.7013900	342.0185000	338.1308189	Aschera
257	56800	2.6120017	0.1461418	9.7725100	74.6830500	289.9427400	216.2686938	Selinur
258	56800	2.6295454	0.1100958	6.2906400	176.9977600	32.3594900	273.3991236	Mathesis
259	56800	2.7226077	0.1758872	5.0098900	42.2369000	68.9509700	282.4899990	Evelyn
260	56800	2.8634635	0.1192486	11.3480300	279.4785800	206.9493300	188.4973258	Kriemhild
261	56800	2.9343314	0.1170121	15.3445200	181.9961200	107.4713100	12.7613522	Xanthe
262	56800	2.7925360	0.3010566	8.1712900	297.1414500	126.9809800	185.8723244	Palatia
263	56800	2.7654783	0.1769282	11.7028300	69.6663500	241.0434400	175.3636597	Menippe
264	56800	2.7767665	0.0339217	10.6839600	175.4518400	211.9206500	29.8903747	Martha
265	56800	2.8749156	0.0863372	3.1928000	251.8540000	105.2928100	138.3921451	Eriphyla
266	56800	2.6512368	0.2849147	2.8354800	200.3287500	173.5365100	106.7872981	Virginia
267	56800	2.7621119	0.0731702	9.7479900	199.5345600	84.3660800	81.2209306	Coelestina
268	56800	2.5826641	0.0426242	11.5319100	205.8858200	112.1456800	136.7094045	Christine
269	56800	2.6600474	0.2530504	5.1788200	147.3491100	210.8659500	202.1181536	Miriam
270	56800	2.4399549	0.1049631	2.9232700	328.0780800	23.3904100	95.5792085	Velleda
271	56800	2.8695683	0.0526649	1.0015800	142.1933600	277.9986800	213.2983104	Koronis
272	56800	2.7008614	0.2148590	16.8843600	30.9930500	76.0129500	188.9979588	Titania
273	56800	2.4600798	0.0425306	1.8952200	212.8227400	51.1146900	275.2078236	Belisana
274	56800	2.5397791	0.1596830	13.8518300	79.1584900	275.7155600	349.4380694	Bella
275	56800	2.5705951	0.0250754	6.7792800	64.7911500	84.8394400	333.4918028	Montague
276	56800	2.7545875	0.1332342	7.8209000	139.8396900	62.0825600	232.1414873	Paulina
277	56800	2.8930915	0.0855072	11.7843200	295.4599100	40.2193600	199.4851210	Repsolda
278	56800	2.9851200	0.1958334	10.2286200	26.2666200	299.9485500	35.6151521	Emanuela
279	56800	2.9887225	0.2468486	10.0332100	354.6266200	18.6010400	331.2556865	Caia
280	56800	2.6358235	0.2452474	12.8315400	139.3472400	228.1834100	18.7893997	Vienna
281	56800	2.7602617	0.0964388	18.0422000	88.3158600	124.3985500	51.1466376	Watsonia
282	56800	2.3539731	0.2230160	10.8455400	142.1906600	200.9182200	20.4320250	Thusnelda
283	56800	2.3620863	0.2366559	9.3309500	14.6473100	327.5975300	339.3019266	Klio
284	56800	2.4508040	0.0367740	5.1761900	168.8191100	203.4416400	130.5862956	Phthia
285	56800	2.7220441	0.1210491	5.2559300	14.6440300	32.6526500	338.2973920	Isabella
286	56800	2.8003147	0.1347296	6.6474800	349.2094400	199.5384500	95.8094271	Suevia
287	56800	2.3173006	0.1904412	23.7260200	238.3522600	32.2814100	162.9063264	Tamara
288	56800	2.6465043	0.1705772	3.0466800	43.9501300	7.5380100	327.0476288	Maja
289	56800	2.9065076	0.1382475	12.0748500	215.3317400	153.0299100	39.4764019	Susanna
290	56800	2.5899507	0.2218422	10.1110200	45.1899900	270.7419900	188.1701240	Senta
291	56800	2.9377554	0.1572621	8.9940000	218.9943000	150.4951100	286.3482340	Toni
292	56800	2.6078019	0.3900746	24.9940900	255.1786000	258.4283800	211.0082436	Aethra
293	56800	2.5535321	0.0626240	14.3857800	159.0083300	301.3655600	255.0323040	Maria
294	56800	2.7111062	0.0669712	9.3056800	129.2578700	112.1479300	111.9634843	Nanon
295	56800	2.7502412	0.1939564	6.1517400	261.5574300	29.4155300	27.3866216	Happelia
296	56800	2.7665913	0.0364615	1.6858900	316.6827600	25.0136000	278.8508269	Oenone
297	56800	2.7744090	0.1084910	8.2100200	331.7526800	99.2564100	179.7502973	Gratia
298	56800	2.8014333	0.1940777	7.5355600	195.4337100	174.6943200	165.3485655	Ottegebe
